"rankng of move
","move name
",Year,votes,RATNG,certfcate,runtme,genre,metascore,"DETAL ABOUT MOVE
","DRECTOR
","ACTOR 1
","ACTOR 2
",ACTOR 3,ACTOR 4,"GROSS COLLECTON
"
557,n the Heat of the Nght,1967,75527,7.9,A,110 mn,"Drama, Mystery, Thrller",75,"A black Phladelpha polce detectve s mstakenly suspected of a local murder whle passng through a racally hostle Msssspp town, and after beng cleared s reluctantly asked by the polce chef to nvestgate the case.",Norman Jewson,Sdney Poter,Rod Steger,Warren Oates,Lee Grant,$24.38M
558,n Cold Blood,1967,26489,7.9,X,134 mn,"Bography, Crme, Drama",89,"Two ex-cons murder a famly n a robbery attempt, before gong on the run from the authortes. The polce try to pece together the detals of the murder n an attempt to track down the kllers.",Rchard Brooks,Robert Blake,Scott Wlson,John Forsythe,Paul Stewart,
559,Doctor Zhvago,1965,76036,7.9,A,193 mn,"Drama, Romance, War",69,"The lfe of a Russan physcan and poet who, although marred to another, falls n love wth a poltcal actvst's wfe and experences hardshp durng World War  and then the October Revoluton.",Davd Lean,Omar Sharf,Jule Chrste,Geraldne Chapln,Rod Steger,$111.72M
560,A Fstful of Dollars,1964,214335,7.9,X,99 mn,"Acton, Drama, Western",65,"A wanderng gunfghter plays two rval famles aganst each other n a town torn apart by greed, prde, and revenge.",Sergo Leone,Clnt Eastwood,Gan Mara Volontè,Maranne Koch,Wolfgang Lukschy,$14.50M
561,Charade,1963,76464,7.9,PG,113 mn,"Comedy, Mystery, Romance",83,Romance and suspense ensue n Pars as a woman s pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,Stanley Donen,Cary Grant,Audrey Hepburn,Walter Matthau,James Coburn,$13.47M
562,Vvre Sa Ve,1962,31384,7.9,X,83 mn,Drama,,Twelve epsodc tales n the lfe of a Parsan woman and her slow descent nto prosttuton.,Jean-Luc Godard,Anna Karna,Sady Rebbot,André S. Labarthe,Guylane Schlumberger,
563,The Manchuran Canddate,1962,75156,7.9,12A,126 mn,"Drama, Thrller",94,An Amercan POW n the Korean War s branwashed as an unwttng assassn for an nternatonal Communst conspracy.,John Frankenhemer,Frank Snatra,Laurence Harvey,Janet Legh,Angela Lansbury,
564,Spartacus,1960,133765,7.9,PG,197 mn,"Adventure, Bography, Drama",87,"The slave Spartacus survves brutal tranng as a gladator and leads a volent revolt aganst the decadent Roman Republc, as the ambtous Crassus seeks to gan power by crushng the uprsng.",Stanley Kubrck,Krk Douglas,Laurence Olver,Jean Smmons,Charles Laughton,$30.00M
565,Hroshma Mon Amour,1959,31797,7.9,X,90 mn,"Drama, Romance",,A French actress flmng an ant-war flm n Hroshma has an affar wth a marred Japanese archtect as they share ther dfferng perspectves on war.,Alan Resnas,Emmanuelle Rva,Ej Okada,Stella Dassas,Perre Barbaud,$0.09M
566,Cat on a Hot Tn Roof,1958,49152,7.9,X,108 mn,Drama,84,Brck s an alcoholc ex-football player who drnks hs days away and ressts the affectons of hs wfe. A reunon wth hs termnal father jogs a host of memores and revelatons for both father and son.,Rchard Brooks,Elzabeth Taylor,Paul Newman,Burl ves,Jack Carson,$17.57M
567,The Ten Commandments,1956,70594,7.9,U,220 mn,"Adventure, Drama, Famly",,"Moses, rased as a prnce of Egypt n the Pharaoh's household, learns of hs true hertage as a Hebrew and hs dvne msson as the delverer of hs people from slavery.",Cecl B. DeMlle,Charlton Heston,Yul Brynner,Anne Baxter,Edward G. Robnson,$93.74M
568,The Searchers,1956,88465,7.9,PG,119 mn,"Adventure, Drama, Western",94,An Amercan Cvl War veteran embarks on a years-long journey to rescue hs nece from the Comanches after the rest of hs brother's famly s massacred n a rad on ther Texas farm.,John Ford,John Wayne,Jeffrey Hunter,Vera Mles,Ward Bond,
569,The Bg Heat,1953,26610,7.9,X,89 mn,"Crme, Flm-Nor, Thrller",,Tough cop Dave Bannon takes on a poltcally powerful crme syndcate.,Frtz Lang,Glenn Ford,Glora Grahame,Jocelyn Brando,Alexander Scourby,
570,A Streetcar Named Desre,1951,107234,7.9,X,122 mn,Drama,97,Dsturbed Blanche DuBos moves n wth her sster n New Orleans and s tormented by her brutsh brother-n-law whle her realty crumbles around her.,Ela Kazan,Vven Legh,Marlon Brando,Km Hunter,Karl Malden,$8.00M
571,Strangers on a Tran,1951,132742,7.9,A,101 mn,"Crme, Drama, Flm-Nor",88,A psychopath forces a tenns star to comply wth hs theory that two strangers can get away wth murder.,Alfred Htchcock,Farley Granger,Robert Walker,Ruth Roman,Leo G. Carroll,$7.63M
572,n a Lonely Place,1950,31246,7.9,PG,94 mn,"Drama, Flm-Nor, Mystery",,"A potentally volent screenwrter s a murder suspect untl hs lovely neghbor clears hm. However, she soon starts to have her doubts.",Ncholas Ray,Humphrey Bogart,Glora Grahame,Frank Lovejoy,Carl Benton Red,
573,Harvey,1950,55466,7.9,U,104 mn,"Comedy, Drama, Fantasy",,"Due to hs nsstence that he has an nvsble sx foot-tall rabbt for a best frend, a whmscal mddle-aged man s thought by hs famly to be nsane - but he may be wser than anyone knows.",Henry Koster,James Stewart,Wallace Ford,Wllam H. Lynn,Vctora Horne,
574,Rope,1948,141511,7.9,PG,80 mn,"Crme, Drama, Mystery",73,Two men attempt to prove they commtted the perfect crme by hostng a dnner party after stranglng ther former classmate to death.,Alfred Htchcock,James Stewart,John Dall,Farley Granger,Dck Hogan,
575,Mracle on 34th Street,1947,47484,7.9,U,96 mn,"Comedy, Drama, Famly",88,"After a dvorced New York mother hres a nce old man to play Santa Claus at Macy's, she s startled by hs clam to be the genune artcle. When hs santy s questoned, a lawyer defends hm n court by argung that he's not mstaken.",George Seaton,Edmund Gwenn,Maureen O'Hara,John Payne,Gene Lockhart,$2.65M
576,Notorous,1946,100322,7.9,A,102 mn,"Drama, Flm-Nor, Romance",100,The daughter of a convcted Naz spy s asked by Amercan agents to gather nformaton on a rng of Naz scentsts n South Amerca. How far wll she have to go to ngratate herself wth them?,Alfred Htchcock,Cary Grant,ngrd Bergman,Claude Rans,Lous Calhern,$10.46M
577,The Bg Sleep,1946,85061,7.9,A,114 mn,"Crme, Flm-Nor, Mystery",86,"Prvate detectve Phlp Marlowe s hred by a wealthy famly. Before the complex case s over, he's seen murder, blackmal, and what mght be love.",Howard Hawks,Humphrey Bogart,Lauren Bacall,John Rdgely,Martha Vckers,$6.54M
578,La Belle et la Bête,1946,26345,7.9,A,96 mn,"Drama, Fantasy, Romance",92,"A beautful young woman takes her father's place as the prsoner of a mysterous beast, who wshes to marry her.",Jean Cocteau,René Clément,Jean Maras,Josette Day,Mla Parély,$0.30M
579,The Lost Weekend,1945,36809,7.9,A,101 mn,"Drama, Flm-Nor",,The desperate lfe of a chronc alcoholc s followed through a four-day drnkng bout.,Blly Wlder,Ray Mlland,Jane Wyman,Phllp Terry,Howard Da Slva,$9.46M
580,Laura,1944,47083,7.9,A,88 mn,"Drama, Flm-Nor, Mystery",,A polce detectve falls n love wth the woman whose murder he s nvestgatng.,Otto Premnger,Gene Terney,Dana Andrews,Clfton Webb,Vncent Prce,$4.36M
581,Arsenc and Old Lace,1943,70312,7.9,PG,118 mn,"Comedy, Crme, Thrller",,A Brooklyn wrter of books on the futlty of marrage rsks hs reputaton when he decdes to te the knot. Thngs get even more complcated when he learns on hs weddng day that hs beloved maden aunts are habtual murderers.,Frank Capra,Cary Grant,Prsclla Lane,Raymond Massey,Jack Carson,
582,Sullvan's Travels,1941,26206,7.9,A,90 mn,"Adventure, Comedy, Drama",,Hollywood drector John L Sullvan sets out to experence lfe as a homeless person n order to gan relevant lfe experence for hs next move.,Preston Sturges,Joel McCrea,Veronca Lake,Robert Warwck,Wllam Demarest,
583,The Phladelpha Story,1940,68752,7.9,A,112 mn,"Comedy, Romance",96,"When a rch woman's ex-husband and a tablod-type reporter turn up just before her planned remarrage, she begns to learn the truth about herself.",George Cukor,Cary Grant,Katharne Hepburn,James Stewart,Ruth Hussey,
584,La Règle du Jeu,1939,28863,7.9,PG,110 mn,"Comedy, Drama",,"A bourgeos lfe n France at the onset of World War , as the rch and ther poor servants meet up at a French chateau.",Jean Renor,Marcel Dalo,Nora Gregor,Paulette Dubost,Mla Parély,
585,The Adventures of Robn Hood,1938,50789,7.9,U,102 mn,"Acton, Adventure, Romance",97,"When Prnce John and the Norman Lords begn oppressng the Saxon masses n Kng Rchard's absence n 1190s England, a Saxon lord fghts back as the outlaw leader of a resstance movement.",Mchael Curtz,Wllam Keghley,Errol Flynn,Olva de Havlland,Basl Rathbone,$3.98M
586,The Thn Man,1934,29422,7.9,A,91 mn,"Comedy, Mystery",86,"Former detectve Nck Charles and hs wealthy wfe Nora nvestgate a murder case, mostly for the fun of t.",W.S. Van Dyke,Wllam Powell,Myrna Loy,Maureen O'Sullvan,Nat Pendleton,
587,Kng Kong,1933,84903,7.9,A,100 mn,"Adventure, Horror, Sc-F",90,A flm crew goes to a tropcal sland for an exotc locaton shoot and dscovers a colossal ape who takes a shne to ther female blonde star. He s then captured and brought back to New York Cty for publc exhbton.,Meran C. Cooper,Ernest B. Schoedsack,Fay Wray,Robert Armstrong,Bruce Cabot,$10.00M
588,Freaks,1932,46061,7.9,Rejected,64 mn,"Drama, Horror",80,"A crcus' beautful trapeze artst agrees to marry the leader of sde-show performers, but hs deformed frends dscover she s only marryng hm for hs nhertance.",Tod Brownng,Wallace Ford,Lela Hyams,Olga Baclanova,Roscoe Ates,
589,Nosferatu,1922,95938,7.9,A,94 mn,"Fantasy, Horror",,Vampre Count Orlok expresses nterest n a new resdence and real estate agent Hutter's wfe.,F.W. Murnau,Max Schreck,Alexander Granach,Gustav von Wangenhem,Greta Schröder,
590,The Gentlemen,2019,322430,7.8,18,113 mn,"Acton, Comedy, Crme",51,"An Amercan expat tres to sell off hs hghly proftable marjuana empre n London, trggerng plots, schemes, brbery and blackmal n an attempt to steal hs doman out from under hm.",Guy Rtche,Matthew McConaughey,Charle Hunnam,Mchelle Dockery,Jeremy Strong,
591,Dragon Ball Super: Broly,2018,26599,7.8,PG,100 mn,"Anmaton, Acton, Adventure",59,"Goku and Vegeta encounter Broly, a Sayan warror unlke any fghter they've faced before.",Tatsuya Nagamne,Masako Nozawa,Aya Hsakawa,Ryô Horkawa,Tosho Furukawa,$30.71M
592,Hnd Medum,2017,28337,7.8,PG,132 mn,"Comedy, Drama",,A couple from Chandn Chowk aspre to gve ther daughter the best educaton and thus be a part of and accepted by the elte of Delh.,Saket Chaudhary,rrfan Khan,Saba Qamar,Dshta Sehgal,Deepak Dobryal,
593,Call Me by Your Name,2017,261160,7.8,15,132 mn,"Drama, Romance",93,"n 1980s taly, romance blossoms between a seventeen-year-old student and the older man hred as hs father's research assstant.",Luca Guadagnno,Arme Hammer,Tmothée Chalamet,Mchael Stuhlbarg,Amra Casar,$18.10M
594,", Danel Blake",2016,59536,7.8,15,100 mn,Drama,78,"After survvng a heart-attack, a 59-year-old carpenter must fght bureaucratc forces to receve Employment and Support Allowance.",Ken Loach,Dave Johns,Hayley Squres,Sharon Percy,Brana Shann,$0.26M
595,sle of Dogs,2018,164645,7.8,PG,101 mn,"Anmaton, Adventure, Comedy",82,"Set n Japan, sle of Dogs follows a boy's odyssey n search of hs lost dog.",Wes Anderson,Bryan Cranston,Koyu Rankn,Edward Norton,Bob Balaban,$32.02M
596,Dunkrk,2017,637254,7.8,12A,106 mn,"Acton, Drama, Hstory",94,"Alled solders from Belgum, the Brtsh Commonwealth and Empre, and France are surrounded by the German Army and evacuated durng a ferce battle n World War .",Chrstopher Nolan,Fonn Whtehead,Barry Keoghan,Mark Rylance,Tom Hardy,$188.37M
597,Hdden Fgures,2016,224366,7.8,PG,127 mn,"Bography, Drama, Hstory",74,The story of a team of female Afrcan-Amercan mathematcans who served a vtal role n NASA durng the early years of the U.S. space program.,Theodore Melf,Taraj P. Henson,Octava Spencer,Janelle Monáe,Kevn Costner,$169.61M
598,Hunt for the Wlderpeople,2016,128308,7.8,12A,101 mn,"Adventure, Comedy, Drama",81,A natonal manhunt s ordered for a rebellous kd and hs foster uncle who go mssng n the wld New Zealand bush.,Taka Watt,Sam Nell,Julan Dennson,Rma Te Wata,Rachel House,$5.20M
599,Paddngton 2,2017,75155,7.8,PG,103 mn,"Adventure, Comedy, Famly",88,"Paddngton, now happly settled wth the Brown famly and a popular member of the local communty, pcks up a seres of odd jobs to buy the perfect present for hs Aunt Lucy's 100th brthday, only for the gft to be stolen.",Paul Kng,Ben Whshaw,Hugh Grant,Hugh Bonnevlle,Sally Hawkns,$40.44M
600,Manchester by the Sea,2016,275853,7.8,15,137 mn,Drama,96,A depressed uncle s asked to take care of hs teenage nephew after the boy's father des.,Kenneth Lonergan,Casey Affleck,Mchelle Wllams,Kyle Chandler,Lucas Hedges,$47.70M
601,Land of Mne,2015,40738,7.8,15,100 mn,"Drama, Hstory, War",75,"n post-World War Denmark, a group of young German POWs are forced to clear a beach of thousands of land mnes under the watch of a Dansh Sergeant who slowly learns to apprecate ther plght.",Martn Zandvlet,Roland Møller,Lous Hofmann,Joel Basman,Mkkel Boe Følsgaard,$0.44M
602,Rogue One,2016,612749,7.8,12A,133 mn,"Acton, Adventure, Sc-F",65,"n a tme of conflct, a group of unlkely heroes band together on a msson to steal the plans to the Death Star, the Empre's ultmate weapon of destructon.",Gareth Edwards,Felcty Jones,Dego Luna,Alan Tudyk,Donne Yen,$532.18M
603,Captan Fantastc,2016,215315,7.8,15,118 mn,"Comedy, Drama",72,"n the forests of the Pacfc Northwest, a father devoted to rasng hs sx kds wth a rgorous physcal and ntellectual educaton s forced to leave hs paradse and enter the world, challengng hs dea of what t means to be a parent.",Matt Ross,Vggo Mortensen,George MacKay,Samantha sler,Annalse Basso,$5.88M
604,Captan Amerca: Cvl War,2016,761110,7.8,12A,147 mn,"Acton, Adventure, Sc-F",75,Poltcal nvolvement n the Avengers' affars causes a rft between Captan Amerca and ron Man.,Anthony Russo,Joe Russo,Chrs Evans,Robert Downey Jr.,Scarlett Johansson,$408.08M
605,The Hateful Eght,2015,582632,7.8,18,168 mn,"Crme, Drama, Mystery",68,"n the dead of a Wyomng wnter, a bounty hunter and hs prsoner fnd shelter n a cabn currently nhabted by a collecton of nefarous characters.",Quentn Tarantno,Samuel L. Jackson,Kurt Russell,Jennfer Jason Legh,Walton Goggns,$54.12M
606,Lttle Women,2019,193965,7.8,U,135 mn,"Drama, Romance",91,"Jo March reflects back and forth on her lfe, tellng the beloved story of the March ssters - four young women, each determned to lve lfe on her own terms.",Greta Gerwg,Saorse Ronan,Emma Watson,Florence Pugh,Elza Scanlen,$108.10M
607,Lovng Vncent,2017,57206,7.8,12A,94 mn,"Anmaton, Bography, Crme",62,"n a story depcted n ol panted anmaton, a young man comes to the last hometown of panter Vncent van Gogh to delver the troubled artst's fnal letter and ends up nvestgatng hs fnal days there.",Dorota Kobela,Hugh Welchman,Douglas Booth,Jerome Flynn,Robert Gulaczyk,$6.74M
608,Prde,2014,56349,7.8,15,119 mn,"Bography, Comedy, Drama",79,U.K. gay actvsts work to help mners durng ther lengthy strke of the Natonal Unon of Mneworkers n the summer of 1984.,Matthew Warchus,Bll Nghy,melda Staunton,Domnc West,Paddy Consdne,
609,Nghtcrawler,2014,528721,7.8,15,117 mn,"Crme, Drama, Thrller",76,"When Lous Bloom, a con man desperate for work, muscles nto the world of L.A. crme journalsm, he blurs the lne between observer and partcpant to become the star of hs own story.",Dan Glroy,Jake Gyllenhaal,Rene Russo,Bll Paxton,Rz Ahmed,$32.38M
610,Star Wars: Epsode V- The Force Awakens,2015,914538,7.8,12A,138 mn,"Acton, Adventure, Sc-F",80,"As a new threat to the galaxy rses, Rey, a desert scavenger, and Fnn, an ex-stormtrooper, must jon Han Solo and Chewbacca to search for the one hope of restorng peace.",J.J. Abrams,Dasy Rdley,John Boyega,Oscar saac,Domhnall Gleeson,$936.66M
611,The Lunchbox,2013,55646,7.8,PG,104 mn,"Drama, Romance",76,A mstaken delvery n Mumba's famously effcent lunchbox delvery system connects a young housewfe to an older man n the dusk of hs lfe as they buld a fantasy world together through notes n the lunchbox.,Rtesh Batra,rrfan Khan,Nmrat Kaur,Nawazuddn Sddqu,Lllete Dubey,$4.23M
612,Vcky Donor,2012,43014,7.8,12A,126 mn,"Comedy, Romance",,"A man s brought n by an nfertlty doctor to supply hm wth hs sperm, where he becomes the bggest sperm donor for hs clnc.",Shoojt Srcar,Ayushmann Khurrana,Yam Gautam,Annu Kapoor,Dolly Ahluwala,$0.17M
613,Bg Hero 6,2014,451051,7.8,PG,102 mn,"Anmaton, Acton, Adventure",74,"A specal bond develops between plus-szed nflatable robot Baymax and prodgy Hro Hamada, who together team up wth a group of frends to form a band of hgh-tech heroes.",Don Hall,Chrs Wllams,Ryan Potter,Scott Adst,Jame Chung,$222.53M
614,About Tme,2013,340440,7.8,12A,123 mn,"Comedy, Drama, Fantasy",55,"At the age of 21, Tm dscovers he can travel n tme and change what happens and has happened n hs own lfe. Hs decson to make hs world a better place by gettng a grlfrend turns out not to be as easy as you mght thnk.",Rchard Curts,Domhnall Gleeson,Rachel McAdams,Bll Nghy,Lyda Wlson,$15.32M
615,Englsh Vnglsh,2012,36153,7.8,PG,134 mn,"Comedy, Drama, Famly",,"A quet, sweet tempered housewfe endures small slghts from her well-educated husband and daughter every day because of her nablty to speak and understand Englsh.",Gaur Shnde,Srdev,Adl Hussan,Mehd Nebbou,Prya Anand,$1.67M
616,Decepton,2013,117786,7.8,15,131 mn,"Crme, Drama, Mystery",49,A lonely art expert workng for a mysterous and reclusve heress fnds not only her art worth examnng.,Guseppe Tornatore,Geoffrey Rush,Jm Sturgess,Sylva Hoeks,Donald Sutherland,$0.09M
617,Captan Amerca: The Wnter Solder,2014,822702,7.8,12A,136 mn,"Acton, Adventure, Sc-F",70,"As Steve Rogers struggles to embrace hs role n the modern world, he teams up wth a fellow Avenger and S.H..E.L.D agent, Black Wdow, to battle a new threat from hstory: an assassn known as the Wnter Solder.",Anthony Russo,Joe Russo,Chrs Evans,Samuel L. Jackson,Scarlett Johansson,$259.77M
618,Once Upon a Tme n Anatola,2011,46090,7.8,15,157 mn,"Crme, Drama",82,A group of men set out n search of a dead body n the Anatolan steppes.,Nur Blge Ceylan,Muhammet Uzuner,Ylmaz Erdogan,Taner Brsel,Ahmet Mümtaz Taylan,$0.14M
619,Moonrse Kngdom,2012,345489,7.8,12A,94 mn,"Comedy, Drama, Romance",84,"A par of young lovers flee ther New England town, whch causes a local search party to fan out to fnd them.",Wes Anderson,Jared Glman,Kara Hayward,Bruce Wlls,Bll Murray,$45.51M
620,How to Tran Your Dragon 2,2014,329706,7.8,PG,102 mn,"Anmaton, Acton, Adventure",77,"When Hccup and Toothless dscover an ce cave that s home to hundreds of new wld dragons and the mysterous Dragon Rder, the two frends fnd themselves at the center of a battle to protect the peace.",Dean DeBlos,Jay Baruchel,Cate Blanchett,Gerard Butler,Crag Ferguson,$177.00M
